"fdc_id","food_code","wweia_category_code","start_date","end_date"
"336569","13110220","5802","2013-01-01","2014-12-31"
"336570","13110310","5802","2013-01-01","2014-12-31"
"336571","13110320","5802","2013-01-01","2014-12-31"
"336572","13110330","5802","2013-01-01","2014-12-31"
"336573","13120050","5802","2013-01-01","2014-12-31"
"336574","13120100","5802","2013-01-01","2014-12-31"
"336575","13120110","5802","2013-01-01","2014-12-31"
"336576","13120120","5802","2013-01-01","2014-12-31"
"336577","13120121","5802","2013-01-01","2014-12-31"
"336578","13120130","5802","2013-01-01","2014-12-31"
"336579","13120140","5802","2013-01-01","2014-12-31"
"336580","13120300","5802","2013-01-01","2014-12-31"
"336581","13120310","5802","2013-01-01","2014-12-31"
"336582","13120400","5802","2013-01-01","2014-12-31"
"336583","13120500","5802","2013-01-01","2014-12-31"
"336584","13120550","5802","2013-01-01","2014-12-31"
"336585","13120700","5802","2013-01-01","2014-12-31"
"336586","13120710","5802","2013-01-01","2014-12-31"
"336587","13120720","5802","2013-01-01","2014-12-31"
"336588","13120730","5802","2013-01-01","2014-12-31"
"336589","13120740","5802","2013-01-01","2014-12-31"
"336590","13120750","5802","2013-01-01","2014-12-31"
"336591","13120760","5802","2013-01-01","2014-12-31"
"336592","13120770","5802","2013-01-01","2014-12-31"
"336593","13120780","5802","2013-01-01","2014-12-31"
"336594","13120790","5802","2013-01-01","2014-12-31"
"336595","13120800","1402","2013-01-01","2014-12-31"
"336596","13120810","1402","2013-01-01","2014-12-31"
"336597","13121000","5802","2013-01-01","2014-12-31"
"336598","13121100","5802","2013-01-01","2014-12-31"
"336599","13121200","5802","2013-01-01","2014-12-31"
"336600","13121300","5802","2013-01-01","2014-12-31"
