"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57341","331040","Total gram weight","","N","90.5","1",""
"57342","331040","Edible portion","","N","52.1","1",""
"57343","331040","Bone and cartilage","","Y","28.8","1",""
"57344","331040","Separable Lean","","N","52.1","1",""
"57345","331040","Handling loss","","N","2.9","1",""
"57346","331040","Skin and separable fat","","Y","6.7","1",""
"57347","331041","Total gram weight","","N","100","1",""
"57348","331041","Edible portion","","N","62.3","1",""
"57349","331041","Bone and cartilage","","Y","29.7","1",""
"57350","331041","Separable Lean","","N","62.3","1",""
"57351","331041","Handling loss","","N","2.3","1",""
"57352","331041","Skin and separable fat","","Y","5.8","1",""
"57353","331042","Skin and separable fat","","Y","14.5","1",""
"57354","331042","Total gram weight","","N","133","1",""
"57355","331042","Edible portion","","N","74.6","1",""
"57356","331042","Bone and cartilage","","Y","42.3","1",""
"57357","331042","Separable Lean","","N","74.6","1",""
"57358","331042","Handling loss","","N","1.5","1",""
"57359","331043","Skin and separable fat","","Y","5.8","1",""
"57360","331043","Total gram weight","","N","82.1","1",""
"57361","331043","Edible portion","","N","45.3","1",""
"57362","331043","Bone and cartilage","","Y","29.7","1",""
"57363","331043","Separable Lean","","N","45.3","1",""
"57364","331043","Handling loss","","N","1.3","1",""
"57365","331044","Total gram weight","","N","115","1",""
"57366","331044","Edible portion","","N","64.2","1",""
"57367","331044","Bone and cartilage","","Y","40.5","1",""
"57368","331044","Separable Lean","","N","64.2","1",""
"57369","331044","Handling loss","","N","2.3","1",""
"57370","331044","Skin and separable fat","","Y","8","1",""
"57371","331045","Total gram weight","","N","112","1",""
"57372","331045","Separable Lean","","N","64.2","1",""
"57373","331045","Handling loss","","N","1.6","1",""
"57374","331045","Edible portion","","N","64.2","1",""
"57375","331045","Bone and cartilage","","Y","40","1",""
"57376","331045","Skin and separable fat","","Y","6.6","1",""
"57377","331046","Total gram weight","","N","101","1",""
"57378","331046","Edible portion","","N","56.7","1",""
"57379","331046","Bone and cartilage","","Y","34.7","1",""
"57380","331046","Separable Lean","","N","56.7","1",""
"57381","331046","Handling loss","","N","1.9","1",""
"57382","331046","Skin and separable fat","","Y","7.4","1",""
"57383","331047","Skin and separable fat","","Y","11.2","1",""
"57384","331047","Total gram weight","","N","135","1",""
"57385","331047","Edible portion","","N","76.5","1",""
"57386","331047","Bone and cartilage","","Y","45.1","1",""
"57387","331047","Separable Lean","","N","76.5","1",""
"57388","331047","Handling loss","","N","2","1",""
"57389","331048","Total gram weight","","N","131","1",""
"57390","331048","Edible portion","","N","73.4","1",""
"57391","331048","Bone and cartilage","","Y","41.5","1",""
"57392","331048","Separable Lean","","N","73.4","1",""
"57393","331048","Handling loss","","N","3","1",""
"57394","331048","Skin and separable fat","","Y","12.8","1",""
"57395","331049","Skin and separable fat","","Y","9.5","1",""
"57396","331049","Total gram weight","","N","131","1",""
"57397","331049","Edible portion","","N","74.2","1",""
"57398","331049","Bone and cartilage","","Y","47","1",""
"57399","331049","Separable Lean","","N","74.2","1",""
"57400","331049","Handling loss","","N","0.7","1",""
"57401","331050","Skin and separable fat","","Y","7.7","1",""
"57402","331050","Total gram weight","","N","102","1",""
"57403","331050","Edible portion","","N","63.1","1",""
