"id","fdc_id","fdc_id_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"40622","343611","","5","1","1123","Egg, whole, raw, fresh"," ","60919","1 large","50","103","0"
"40623","343611","","6","8","14429","Beverages, water, tap, municipal","FO","10205","1 cup","237","0","0"
"40624","343612","","1","3","11642","Squash, summer, all varieties, cooked, boiled, drained, without salt"," ","10161","1 cup, sliced","540","0","0"
"40625","343612","","2","0.5","11549","Tomato products, canned, sauce","C","10205","1 cup","128.5","0","0"
"40626","343612","","3","1","1001","Butter, salted","TB","10205","1 cup","14.188","0","4"
"40627","343612","","4","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40628","343612","336706","5","0.5","14010000","Cheese, NFS","C","10205","1 cup","56.5","1","0"
"40629","343612","","6","0.5","18079","Bread crumbs, dry, grated, plain","C","10205","1 cup","54","0","0"
"40630","343613","","1","3","11642","Squash, summer, all varieties, cooked, boiled, drained, without salt","C","10161","1 cup, sliced","540","0","0"
"40631","343613","","2","0.5","11549","Tomato products, canned, sauce","C","10205","1 cup","128.5","0","0"
"40632","343613","","3","1","1001","Butter, salted","TB","10205","1 cup","14.188","0","4"
"40633","343613","","4","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40634","343613","","5","2","20045","Rice, white, long-grain, regular, enriched, cooked","C","10205","1 cup","316","0","0"
"40635","343613","","6","0.5","18079","Bread crumbs, dry, grated, plain","C","10205","1 cup","54","0","0"
"40636","343614","","1","3","11642","Squash, summer, all varieties, cooked, boiled, drained, without salt","C","10161","1 cup, sliced","540","0","0"
"40637","343614","","2","0.5","1164","Cheese sauce, prepared from recipe","C","10205","1 cup","121.5","0","0"
"40638","343614","","3","1","1001","Butter, salted","TB","10205","1 cup","14.188","0","4"
"40639","343614","","4","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40640","343614","","5","0.5","18079","Bread crumbs, dry, grated, plain","C","10205","1 cup","54","0","0"
"40641","343615","","1","1","11474","Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt","","62554","1/2 cup slices","96","0","0"
"40642","343615","","2","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40643","343615","","3","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40644","343615","","4","1","11480","Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt","","62389","1/2 cup","112","0","0"
"40645","343616","","1","1","11642","Squash, summer, all varieties, cooked, boiled, drained, without salt","C","10161","1 cup, sliced","180","0","0"
"40646","343616","","2","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40647","343616","","3","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40648","343617","","1","1","11474","Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt"," ","62554","1/2 cup slices","96","0","0"
"40649","343617","","2","1","11480","Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt","","62389","1/2 cup","112","0","0"
"40650","343617","","3","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40651","343617","","4","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40652","343618","","1","1","11471","Squash, summer, crookneck and straightneck, canned, drained, solid, without salt","","10166","1 cup, slices","216","3468","0"
"40653","343618","","2","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40654","343619","","1","2","11642","Squash, summer, all varieties, cooked, boiled, drained, without salt","C","10161","1 cup, sliced","360","3451","0"
"40655","343619","","2","0.25","1001","Butter, salted","C","10205","1 cup","56.75","0","4"
"40656","343619","","3","0.25","20081","Wheat flour, white, all-purpose, enriched, bleached","C","10205","1 cup","31.25","301","0"
"40657","343619","","4","0.5","2047","Salt, table","TS","10205","1 cup","3","0","5"
"40658","343619","336069","5","1","11100000","Milk, NFS","C","10205","1 cup","244","2152","0"
"40659","343619","","6","3","1123","Egg, whole, raw, fresh"," ","60919","1 large","150","101","0"
"40660","343620","","1","1","11567","Turnips, frozen, cooked, boiled, drained, without salt","C","10205","1 cup","156","0","0"
"40661","343620","","2","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40662","343620","","3","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
"40663","343621","","1","1","11565","Turnips, cooked, boiled, drained, without salt","C","10063","1 cup, cubes","156","0","0"
"40664","343621","","2","0.5","6166","Sauce, homemade, white, medium","C","10205","1 cup","125","0","0"
"40665","343621","","3","1","2047","Salt, table","","62579","1 dash","0.4","0","5"
